Significant.UC_K	Ratio.UC.H	minus.log.pvalue	Number.of.samples.quantified.in	Quantified.in.over.70.pct.samples	Cluster	Protein.names	Gene.names	Protein.IDs	Majority.protein.IDs	Zscore.difference.UC-K	Gene.name	pvalue	adj_pvalue	logFC	stat	ENSG.ID	Gene.type	Chromosome	idx	top_2000	top_100	significance
NA	1.40495	7.09664	32	+	NA	Ubiquitin-like protein ISG15	ISG15	P05161;A0A096LNZ9;A0A096LPJ4	P05161;A0A096LNZ9;A0A096LPJ4	1.33513	ISG15	8.004975369921071e-8	4.940395976805578e-7	0.4905187880721007	7.109616426441226	ENSG00000187608	protein_coding	1	306	yes	no	significant_inflammatory
NA	1.30316	8.99733	32	+	NA	60S ribosomal protein L9	RPL9	Q53Z07;P32969;H0Y9V9;E7ESE0;D6RAN4;B4E1M5;B4DLV8;H0Y9R4;Q2NKY6	Q53Z07;P32969;H0Y9V9;E7ESE0;D6RAN4;B4E1M5;B4DLV8	1.07676	RPL9	1.0061668393370162e-9	1.1012629618513465e-8	0.38201422668072926	6.986135626443263	ENSG00000163682	protein_coding	4	307	no	no	significant
NA	1.33538	8.19791	32	+	NA	Schlafen family member 5	SLFN5	Q08AF3;B4E0B1;B4E128;Q08AF3-2;K7EJJ3;REV__H7C1F2;B3KWY1;B3KV92;A0A0D9SGD9;REV__Q9H802;REV__H0Y3R4;REV__Q6AW96;REV__A8K0G4;REV__B3KXG4;REV__Q9C0A6-2;REV__Q9C0A6-3;REV__B3KRD6;REV__Q9C0A6;REV__E7EWN3;REV__Q8IZD2-6;REV__Q8IZD2-5;REV__Q8IZD2-2;REV__Q8IZD2-7;REV__Q8IZD2;Q8IYM2;Q68D06-2;Q6IEE8;Q6IEE8-2	Q08AF3;B4E0B1	1.1514	SLFN5	6.340010833740766e-9	5.38552568624353e-8	0.4172503382468628	6.9705481343047495	ENSG00000166750	protein_coding	17	308	yes	no	significant_inflammatory
NA	1.32817	8.32731	32	+	NA	WAS/WASL-interacting protein family member 1	WASPIP;WIPF1	D3DPE6;A0A140VJZ9;O43516-2;O43516;O43516-3;O43516-4;Q2YDC4;E9PB87;B4E2B2;B4DVX1;B8ZZ90;C9JTB9;C9JB04	D3DPE6;A0A140VJZ9;O43516-2;O43516;O43516-3;O43516-4;Q2YDC4;E9PB87;B4E2B2;B4DVX1	1.04297	WIPF1	4.70641262087826e-9	4.15777937821588e-8	0.4094398172121655	6.945804265071531	ENSG00000115935	protein_coding	2	309	yes	no	significant_inflammatory
NA	1.24356	10.9516	32	+	NA	Manganese-transporting ATPase 13A1	ATP13A1	A0A024R7N2;Q9HD20;A0A024R7P3;Q9HD20-2;Q8NC73;Q9HD20-3;Q6ZUA1;H7C3H2;Q8TEG5;Q8N3E5	A0A024R7N2;Q9HD20;A0A024R7P3;Q9HD20-2	0.865666	ATP13A1	1.1178923907117466e-11	2.5988896782561807e-10	0.314476117216404	6.933023223277836	ENSG00000105726	protein_coding	19	310	yes	no	significant_inflammatory
NA	1.47604	6.04608	30	+	NA	Regulator of G-protein signaling 14	RGS14	A0A024R7N4;O43566;B3KUX0;H0Y8W3;O43566-6;O43566-5;O43566-4	A0A024R7N4;O43566;B3KUX0;H0Y8W3;O43566-6;O43566-5	1.44671	RGS14	8.993319032122476e-7	4.274764403892806e-6	0.5617318182951255	6.932424102345725	ENSG00000169220	protein_coding	5	311	yes	no	significant_inflammatory
NA	1.35408	7.7624	32	+	NA	Bone marrow stromal antigen 2	BST2	A0A024R7H5;Q10589;B4E0Z6;Q10589-2	A0A024R7H5;Q10589;B4E0Z6;Q10589-2	1.12662	BST2	1.7282238729497645e-8	1.306428298743656e-7	0.4373129768699159	6.920197694805246	ENSG00000130303	protein_coding	19	312	yes	no	significant_inflammatory
+	1.6245	4.84377	25	+	Cluster 2 (major cluster increased abundance in UC)	25-hydroxycholesterol 7-alpha-hydroxylase	CYP7B1	O75881;Q05C57	O75881;Q05C57	1.83856	CYP7B1	1.4329465790888303e-5	5.049197518567138e-5	0.6999957436673964	6.910410418167569	ENSG00000172817	protein_coding	8	313	yes	no	significant_inflammatory
NA	1.26069	10.2305	32	+	NA	40S ribosomal protein S13	RPS13	P62277;J3KMX5;E9PS50	P62277;J3KMX5	0.934675	RPS13	5.881661141430397e-11	1.0240460410598315e-9	0.33421356476596	6.907389657531809	ENSG00000110700	protein_coding	11	314	no	no	significant
NA	1.2504	10.5772	32	+	NA	Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 3	PABPC1;PABPC3	A0A024R9C1;P11940;P11940-2;A0A087WTT1;E7EQV3;B4DZW4;E7ERJ7;B3KT93;B4DQX0;A0A024R9E2;Q5VX58;Q3ZCS4;Q9H361;H0YAR2;Q2VIP3;H0YAP2;H0YB86;H0YBN4;E5RGH3;E5RJB9;H0YAS6;H0YB75;E5RH24;H0YAS7;H0YAW6;H0YC10;E5RHG7;E5RGC4;E5RFD8;L0R533;E5RJM8;A8K8J2;B4DM75;Q96DU9-2	A0A024R9C1;P11940;P11940-2;A0A087WTT1;E7EQV3;B4DZW4;E7ERJ7;B3KT93;B4DQX0;A0A024R9E2;Q5VX58;Q3ZCS4;Q9H361;H0YAR2;Q2VIP3	0.892266	PABPC1	2.6472807400175658e-11	5.247046184701483e-10	0.32238968345021496	6.879592141218857	ENSG00000070756	protein_coding	8	315	no	no	significant
NA	1.2504	10.5772	32	+	NA	Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 3	PABPC1;PABPC3	A0A024R9C1;P11940;P11940-2;A0A087WTT1;E7EQV3;B4DZW4;E7ERJ7;B3KT93;B4DQX0;A0A024R9E2;Q5VX58;Q3ZCS4;Q9H361;H0YAR2;Q2VIP3;H0YAP2;H0YB86;H0YBN4;E5RGH3;E5RJB9;H0YAS6;H0YB75;E5RH24;H0YAS7;H0YAW6;H0YC10;E5RHG7;E5RGC4;E5RFD8;L0R533;E5RJM8;A8K8J2;B4DM75;Q96DU9-2	A0A024R9C1;P11940;P11940-2;A0A087WTT1;E7EQV3;B4DZW4;E7ERJ7;B3KT93;B4DQX0;A0A024R9E2;Q5VX58;Q3ZCS4;Q9H361;H0YAR2;Q2VIP3	0.892266	PABPC3	2.6472807400175658e-11	5.247046184701483e-10	0.32238968345021496	6.879592141218857	ENSG00000151846	protein_coding	13	316	no	no	significant
NA	1.33052	8.18515	32	+	NA	Cytokine receptor-like factor 3	CRLF3	Q8IUI8;B4DJU5;J3KST8;J3QLS9	Q8IUI8;B4DJU5	1.03136	CRLF3	6.529050082986976e-9	5.530910371670063e-8	0.41199019670658527	6.872223675223072	ENSG00000176390	protein_coding	17	317	yes	no	significant_inflammatory
+	1.71513	4.34641	32	+	Cluster 2 (major cluster increased abundance in UC)	Granzyme K	GZMK	P49863	P49863	2.24027	GZMK	4.5039130740558584e-5	1.4386466141509002e-4	0.7783179310612668	6.86867553964094	ENSG00000113088	protein_coding	5	318	yes	no	significant_inflammatory
NA	1.26755	9.90427	32	+	NA	La-related protein 1	LARP1	Q6PKG0;Q6PKG0-3;A0A0B4J210;E5RH50;H0YBW1;H0YC33;H0YC73;H0YAN4;H0YAX9;H0YBJ5;E5RHK4;H0YBM7	Q6PKG0;Q6PKG0-3;A0A0B4J210;E5RH50	0.896469	LARP1	1.2466082594500912e-10	1.8620834484153055e-9	0.34204265715311727	6.863624248636414	ENSG00000155506	protein_coding	5	319	yes	no	significant_inflammatory
NA	1.3299	8.15009	32	+	NA	60S ribosomal protein L38	RPL38	A0A024R8P8;P63173;J3KT73;J3QL01;J3KSP2	A0A024R8P8;P63173;J3KT73;J3QL01;J3KSP2	1.16803	RPL38	7.077990900977062e-9	5.914904828600291e-8	0.4113177683369715	6.833806823487385	ENSG00000172809	protein_coding	17	320	no	no	significant
NA	1.53664	5.37884	26	+	NA	L-selectin	SELL	B4DQA0;Q8WW79;A0A024R8Z0;P14151;P14151-2;A0A0H5AY34;Q6ULR8	B4DQA0;Q8WW79;A0A024R8Z0;P14151;P14151-2;A0A0H5AY34	1.60059	SELL	4.179843294016502e-6	1.7038992043637473e-5	0.6197792137936047	6.7913303841793615	ENSG00000188404	protein_coding	1	321	yes	yes	significant_inflammatory
NA	1.29828	8.85706	32	+	NA	60S ribosomal protein L35a	RPL35A	P18077;C9K025;F8WBS5;F8WB72	P18077;C9K025;F8WBS5;F8WB72	1.08393	RPL35A	1.3897606154251215e-9	1.461612184657985e-8	0.376601562880872	6.7821698537192505	ENSG00000182899	protein_coding	3	322	no	no	significant
NA	1.43066	6.42667	32	+	NA	Peptidyl-prolyl cis-trans isomerase FKBP10	FKBP10;DKFZp666D193	A0A024R1W3;Q96AY3;B4DJJ5;Q658U4;Q8NAG5;H0Y827;Q6ZME7;Q96AY3-2;K7ELI6;K7ESG6;C9JPC3;K7EM43	A0A024R1W3;Q96AY3;B4DJJ5;Q658U4;Q8NAG5;H0Y827;Q6ZME7;Q96AY3-2	1.32886	FKBP10	3.7439496538379965e-7	1.942330927796491e-6	0.5166808526407426	6.78133015039388	ENSG00000141756	protein_coding	17	323	yes	no	significant_inflammatory
NA	1.2259	11.3888	32	+	NA	Dual specificity mitogen-activated protein kinase kinase 1	MAP2K1	B4DFY5;A4QPA9;Q02750;Q02750-2;H3BRW9	B4DFY5;A4QPA9;Q02750;Q02750-2	0.776538	MAP2K1	4.085074676631251e-12	1.1535206301501213e-10	0.2938412992667393	6.714706005871282	ENSG00000169032	protein_coding	15	324	no	no	significant
NA	1.44313	6.21215	32	+	NA	Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain	ASRGL1	A0A024R573;Q7L266;B3KR33;Q9BRH2;Q7L266-2;A0A087WUG3;A0A087WZI5;E9PJK6;B4DLU4	A0A024R573;Q7L266;B3KR33;Q9BRH2;Q7L266-2	1.57645	ASRGL1	6.135500558826843e-7	3.0353548364628153e-6	0.5292012665010506	6.712439018365873	ENSG00000162174	protein_coding	11	325	no	no	significant
NA	1.30485	8.57368	32	+	NA	ATP-dependent DNA helicase Q1	RECQL	A0A024RAV2;P46063;F8WA66;F8WD97;F5H2L2;F5H4P4;F5H3W0;F5GYB7	A0A024RAV2;P46063	1.02656	RECQL	2.668824402719198e-9	2.5351782037504638e-8	0.38388397024794707	6.702253858474225	ENSG00000004700	protein_coding	12	326	yes	no	significant_inflammatory
NA	1.2447	10.4907	32	+	NA	60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like	RPLP0;RPLP0P6	A8K4Z4;A0A024RBS2;P05388;Q6NSF2;F8VWS0;Q53HW2;Q53HK9;P05388-2;F8VW21;F8VU65;F8VPE8;G3V210;F8VQY6;F8VRK7;F8VZS0;B4E3D5;Q8NHW5;F8VWV4;F8VS58;F8W1K8;Q3MHV2	A8K4Z4;A0A024RBS2;P05388;Q6NSF2;F8VWS0;Q53HW2;Q53HK9;P05388-2;F8VW21;F8VU65;F8VPE8;G3V210;F8VQY6;F8VRK7;F8VZS0;B4E3D5;Q8NHW5;F8VWV4;F8VS58	0.874312	RPLP0	3.230725056892877e-11	6.223926402437867e-10	0.31579806304335706	6.684791699762358	ENSG00000089157	protein_coding	12	327	no	no	significant
NA	1.28776	8.98603	32	+	NA	40S ribosomal protein S19	RPS19	B0ZBD0;Q8WVX7;P39019;M0R2L9;M0QXK4;M0QYF7;M0R140;A0A075B6E2	B0ZBD0;Q8WVX7;P39019;M0R2L9;M0QXK4;M0QYF7;M0R140	1.00723	RPS19	1.0326900675948342e-9	1.1243231299307138e-8	0.36486374324069704	6.665529823225793	ENSG00000105372	protein_coding	19	328	no	no	significant
NA	1.37973	6.99454	32	+	NA	Cyclin-dependent kinase 3	CDK3	A0A024R8R3;Q00526;K7ELV5	A0A024R8R3;Q00526;K7ELV5	1.2039	CDK3	1.0126514758715101e-7	6.079841482319825e-7	0.4643859729657791	6.6341266428357	ENSG00000250506	protein_coding	17	329	no	no	significant
NA	1.35185	7.47522	32	+	NA	Poly [ADP-ribose] polymerase 1	PARP1	A0A024R3T8;P09874;B2R5W3;B4E0E1;Q05D33;Q6PJL0;Q96P95;Q5VX84;Q5VX85	A0A024R3T8;P09874;B2R5W3;B4E0E1	1.1942	PARP1	3.3479579911471284e-8	2.310688863532795e-7	0.4349350804206185	6.633525620717078	ENSG00000143799	protein_coding	1	330	yes	no	significant_inflammatory
NA	1.46536	5.89602	32	+	NA	Rho GTPase-activating protein 15	ARHGAP15	Q53QZ3;H7BZM0;B4E0R3	Q53QZ3	1.42605	ARHGAP15	1.2705155944559277e-6	5.8199025452707085e-6	0.551255140013917	6.632792501130291	ENSG00000075884	protein_coding	2	331	yes	no	significant_inflammatory
NA	1.42289	6.35069	32	+	NA	Coactosin-like protein	COTL1	Q14019;H3BT58	Q14019;H3BT58	1.40129	COTL1	4.459744720028052e-7	2.2792612684837583e-6	0.5088241350980222	6.598658205799207	ENSG00000103187	protein_coding	16	332	yes	no	significant_inflammatory
NA	1.21954	11.4217	32	+	NA	Nodal modulator 2;Nodal modulator 1	NOMO2;NOMO1	Q5JPE7-2;Q5JPE7;A0A0G2JN29;A0A087X117;Q15155;Q5JPE7-3;A0A0G2JP90;A0A087WW46;H3BPS9	Q5JPE7-2;Q5JPE7;A0A0G2JN29;A0A087X117;Q15155;Q5JPE7-3;A0A0G2JP90;A0A087WW46	0.789991	NOMO2	3.787040939050058e-12	1.0943486526675494e-10	0.2863370782285938	6.5584511286085645	ENSG00000185164	protein_coding	16	333	no	no	significant
NA	1.21954	11.4217	32	+	NA	Nodal modulator 2;Nodal modulator 1	NOMO2;NOMO1	Q5JPE7-2;Q5JPE7;A0A0G2JN29;A0A087X117;Q15155;Q5JPE7-3;A0A0G2JP90;A0A087WW46;H3BPS9	Q5JPE7-2;Q5JPE7;A0A0G2JN29;A0A087X117;Q15155;Q5JPE7-3;A0A0G2JP90;A0A087WW46	0.789991	NOMO1	3.787040939050058e-12	1.0943486526675494e-10	0.2863370782285938	6.5584511286085645	ENSG00000103512	protein_coding	16	334	no	no	significant
NA	1.28591	8.79613	32	+	NA	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	ANKRD44	Q8N8A2;Q8N8A2-2;Q8N8A2-4;H7C209;Q8N8A2-3;Q53T07;B7Z6Z7;Q8N8A2-5;H7C4A0;C9JY51;F8WBW3	Q8N8A2;Q8N8A2-2;Q8N8A2-4;H7C209;Q8N8A2-3	0.936592	ANKRD44	1.5990792948680129e-9	1.645375434186987e-8	0.36278967291673775	6.4902988482818005	ENSG00000065413	protein_coding	2	335	yes	no	significant_inflammatory
NA	1.33411	7.61395	32	+	NA	[Protein ADP-ribosylarginine] hydrolase	ADPRH	A8K6X2;P54922;B4E341;C9JZW7	A8K6X2;P54922;B4E341	1.11774	ADPRH	2.4324840430282768e-8	1.7491257351263796e-7	0.41587762447744553	6.459093979016308	ENSG00000144843	protein_coding	3	336	yes	no	significant_inflammatory
NA	1.28104	8.85147	32	+	NA	Lipase maturation factor 2	LMF2	Q9BU23-2;Q9BU23;Q9BU23-3	Q9BU23-2;Q9BU23;Q9BU23-3	0.984375	LMF2	1.407764469928105e-9	1.4780331888005774e-8	0.3573155240017092	6.430844893664122	ENSG00000100258	protein_coding	22	337	no	no	significant
NA	1.24403	10.088	32	+	NA	Ras-related protein Rab-43	RAB43	Q86YS6;Q86YS6-2;C9JFM7;REV__Q8WY22;REV__Q13751;REV__A0A0S2Z3R6	Q86YS6	0.873827	RAB43	8.165823713585939e-11	1.3430173894897726e-9	0.31502127673005875	6.424942442880788	ENSG00000172780	protein_coding	3	338	no	no	significant
NA	1.28949	8.60039	32	+	NA	Translationally-controlled tumor protein	TPT1	A0A0P1J1R0;P13693;J3KPG2;Q5W0H4;A0A0B4J2C3;A0A024RDY2;B4DKJ4;P13693-2;E9PJF7;H0YCX0;Q9UP43;B4DLD6;Q56UQ5	A0A0P1J1R0;P13693;J3KPG2;Q5W0H4;A0A0B4J2C3;A0A024RDY2;B4DKJ4;P13693-2;E9PJF7	1.04782	TPT1	2.509631749444099e-9	2.406133757916637e-8	0.36680058506481666	6.42323348751767	ENSG00000133112	protein_coding	13	339	no	no	significant
NA	1.28092	8.78998	32	+	NA	AP-1 complex subunit mu-1	AP1M1	B4DDG7;B3KNH5;A0A024R7K8;Q9BXS5;Q9BXS5-2;K7EJL1;Q59EK3;E7ENJ6;B4DN99;K7EQX3;A0A087WZX7;K7ENA7;K7ER75;K7EPJ8	B4DDG7;B3KNH5;A0A024R7K8;Q9BXS5;Q9BXS5-2;K7EJL1;Q59EK3;E7ENJ6;B4DN99	0.944677	AP1M1	1.621884786193768e-9	1.6612788739244415e-8	0.35718037481512305	6.386475308244405	ENSG00000072958	protein_coding	19	340	no	no	significant
NA	1.21455	11.3456	32	+	NA	Alpha-taxilin	TXLNA	P40222;H0UI61;H0UI60;Q5HYK6;B2RBM1;Q8N3L3	P40222	0.762024	TXLNA	4.512321133443382e-12	1.2457229414827622e-10	0.2804218833597146	6.386349154137749	ENSG00000084652	protein_coding	1	341	yes	no	significant_inflammatory
NA	1.25269	9.68441	32	+	NA	Eukaryotic translation initiation factor 2 subunit 2	EIF2S2	Q6IBR8;P20042;B5BU01;Q96I16;Q3B7I9;Q59GZ3	Q6IBR8;P20042;B5BU01;Q96I16	0.90327	EIF2S2	2.068187933596442e-10	2.854837986910803e-9	0.3250294387649443	6.382867992346892	ENSG00000125977	protein_coding	20	342	no	no	significant
NA	1.28777	8.57692	32	+	NA	40S ribosomal protein S28	RPS28	B2R4R9;P62857	B2R4R9;P62857	1.00468	RPS28	2.6489880552991483e-9	2.5203225446191744e-8	0.3648749463331938	6.372531169318229	ENSG00000233927	protein_coding	19	343	no	no	significant
NA	1.26048	9.40416	32	+	NA	Protein disulfide-isomerase TMX3	TMX3	Q96JJ7;Q3B7X1;Q96JJ7-2;H3BT89;H3BVI1;H3BPB3	Q96JJ7;Q3B7X1;Q96JJ7-2	0.931788	TMX3	3.943120054009861e-10	4.996773445491185e-9	0.3339732271772314	6.37107321744786	ENSG00000166479	protein_coding	18	344	no	no	significant
+	1.59301	4.65807	32	+	Cluster 2 (major cluster increased abundance in UC)	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1	A6NC48;Q10588-2;Q10588;H0Y984;H0Y8G4;H0Y9Q9	A6NC48;Q10588-2;Q10588;H0Y984;H0Y8G4	1.67798	BST1	2.197505648176151e-5	7.499655037704922e-5	0.6717553233008416	6.365536632084079	ENSG00000109743	protein_coding	4	345	no	no	significant
NA	1.39093	6.54515	32	+	NA	Tyrosine-protein kinase ZAP-70	ZAP70	P43403;P43403-3;P43403-2;B4E0E2;B0YIV3;Q8NFD2	P43403;P43403-3	1.31797	ZAP70	2.8500337307127886e-7	1.5219869249333234e-6	0.47604981657749273	6.363327157126209	ENSG00000115085	protein_coding	2	346	yes	no	significant_inflammatory
NA	1.33114	7.55869	32	+	NA	Cytoskeleton-associated protein 4	CKAP4	A0A024RBH2;Q07065;B3KVX6;Q8TB01;Q6NWZ1	A0A024RBH2;Q07065;B3KVX6;Q8TB01;Q6NWZ1	1.13996	CKAP4	2.762549063942175e-8	1.9550660216061927e-7	0.41266231180883667	6.363039321350457	ENSG00000136026	protein_coding	12	347	yes	no	significant_inflammatory
NA	1.26713	9.16724	32	+	NA	Protein transport protein Sec24D	SEC24D	B3KM89;O94855;O94855-2;A8K6V0;E9PDM8;Q49AI3;E9PC44;Q4W5D3;Q9NWP5	B3KM89;O94855;O94855-2;A8K6V0;E9PDM8;Q49AI3;E9PC44	0.928473	SEC24D	6.803932555739431e-10	7.864582976578064e-9	0.341564544000594	6.360479539184201	ENSG00000150961	protein_coding	4	348	yes	no	significant_inflammatory
NA	1.19162	12.509	32	+	NA	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1	Q53XC0;P05198;G3V4T5;H0YJS4;B4DM12	Q53XC0;P05198;G3V4T5;H0YJS4	0.675459	EIF2S1	3.097419299216578e-13	1.2942189828618457e-11	0.25292424291514964	6.333997383434665	ENSG00000134001	protein_coding	14	349	no	no	significant
NA	1.23658	10.2321	32	+	NA	Protein transport protein Sec23B	SEC23B	Q15437;B4DRA5;Q5QPE2;B4DS04	Q15437;B4DRA5;Q5QPE2	0.854416	SEC23B	5.860032167510547e-11	1.0240460410598315e-9	0.30635557726914453	6.331632132998346	ENSG00000101310	protein_coding	20	350	yes	no	significant_inflammatory
NA	1.21982	10.9429	32	+	NA	N-terminal kinase-like protein	SCYL1	E9PS17;Q96KG9-3;Q96KG9-2;Q96KG9;E9PK59;Q96KG9-4;E9PPN3;Q96KG9-5;Q96KG9-6;A0A0A0MQX4;B4DXZ7;H0YCI6;H0YDH0	E9PS17;Q96KG9-3;Q96KG9-2;Q96KG9;E9PK59;Q96KG9-4;E9PPN3;Q96KG9-5;Q96KG9-6	0.757843	SCYL1	1.140512370007243e-11	2.641546253230259e-10	0.2866682754387003	6.315265877386766	ENSG00000142186	protein_coding	11	351	no	no	significant
NA	1.36011	6.94156	32	+	NA	Signal recognition particle 19 kDa protein	SRP19	P09132;A0A087WYR0;A0A087WWU9;P09132-2;D6RBG4	P09132;A0A087WYR0;A0A087WWU9	1.22603	SRP19	1.1440368143715868e-7	6.759783694562196e-7	0.44372333532632974	6.291713436729207	ENSG00000153037	protein_coding	5	352	no	no	significant
NA	1.28268	8.59541	32	+	NA	Ubiquitin-like modifier-activating enzyme 5	UBA5	Q9GZZ9;E7EQ61;Q9GZZ9-2;E7EWE1;C9J5W5;C9JRV9;C9J0F6	Q9GZZ9;E7EQ61;Q9GZZ9-2;E7EWE1	1.01875	UBA5	2.5385750071047145e-9	2.42635979040735e-8	0.3591612951388001	6.28642622157733	ENSG00000081307	protein_coding	3	353	no	no	significant
NA	1.27741	8.73582	32	+	NA	Inorganic pyrophosphatase	HEL-S-66p;PPA1	V9HWB5;Q15181;Q5SQT6	V9HWB5;Q15181;Q5SQT6	1.0521	PPA1	1.8372996825579736e-9	1.8339094176161942e-8	0.3532216495757301	6.280568214541724	ENSG00000180817	protein_coding	10	354	no	no	significant
NA	1.30968	7.84768	32	+	NA	Probable ATP-dependent RNA helicase DDX5	DDX5;DKFZp686J01190	J3KTA4;P17844;B5BUE6;B4DN41;P17844-2;Q7Z2V5;Q59E92;B4DNG2;J3QRQ7;J3KRX8;J3KRZ1;J3QR02;J3QSF1;C1IK54;X6RLV5;J3QKN9;J3QRN5;J3QLG9;J3QR62	J3KTA4;P17844;B5BUE6;B4DN41;P17844-2;Q7Z2V5;Q59E92;B4DNG2	1.07286	DDX5	1.4201035072196513e-8	1.0882181026823202e-7	0.38921435465698695	6.229887656992806	ENSG00000108654	protein_coding	17	355	yes	no	significant_inflammatory
NA	1.39883	6.29815	32	+	NA	40S ribosomal protein S25	RPS25	P62851;E9PQK3;E9PK60	P62851	1.38621	RPS25	5.03326735867007e-7	2.534668187786296e-6	0.48422064223141825	6.228707608125472	ENSG00000118181	protein_coding	11	356	no	no	significant
NA	1.37451	6.64244	32	+	NA	Ribonucleoside-diphosphate reductase subunit M2	hCG_23833;RRM2	D6W4Z6;P31350;P31350-2;A0A286YFD6;C9JXC1;B3KS26;Q8N6S3	D6W4Z6;P31350;P31350-2;A0A286YFD6;C9JXC1;B3KS26;Q8N6S3	1.24646	RRM2	2.2780329419997236e-7	1.2411767148305102e-6	0.4589174029570344	6.227364865767817	ENSG00000171848	protein_coding	2	357	yes	no	significant_inflammatory
NA	1.27156	8.81797	32	+	NA	Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4	UBE2D1;UBE2D4	A0A024QZJ2;P51668;Q9UQL0;A0A087WW00;C9J9H9;A0A024RA90;Q9Y2X8	A0A024QZJ2;P51668;Q9UQL0;A0A087WW00;C9J9H9;A0A024RA90;Q9Y2X8	0.93971	UBE2D1	1.5206525690626356e-9	1.5751617231295374e-8	0.3465995388350701	6.2158223164080395	ENSG00000072401	protein_coding	10	358	no	no	significant
NA	1.27156	8.81797	32	+	NA	Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4	UBE2D1;UBE2D4	A0A024QZJ2;P51668;Q9UQL0;A0A087WW00;C9J9H9;A0A024RA90;Q9Y2X8	A0A024QZJ2;P51668;Q9UQL0;A0A087WW00;C9J9H9;A0A024RA90;Q9Y2X8	0.93971	UBE2D4	1.5206525690626356e-9	1.5751617231295374e-8	0.3465995388350701	6.2158223164080395	ENSG00000078967	protein_coding	7	359	no	no	significant
NA	1.35534	6.92745	32	+	NA	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB;alpha-1,2-Mannosidase	MAN1A2	O60476;H0Y7H1;B3KMI5;H0Y543	O60476;H0Y7H1;B3KMI5	1.20913	MAN1A2	1.1818163663501366e-7	6.947103050864301e-7	0.43865481082889063	6.207800564038133	ENSG00000198162	protein_coding	1	360	no	no	significant
NA	1.35346	6.95827	32	+	NA	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ERGIC2	A0A024RB08;A0A087WU02;Q9HC06;Q96RQ1;F8W0R1;F8VR88;F8VUZ2;F8VPA6;H0YI58;H0YI50;F8VRW9;Q86TD3	A0A024RB08;A0A087WU02;Q9HC06;Q96RQ1;F8W0R1;F8VR88;F8VUZ2;F8VPA6	1.13478	ERGIC2	1.100854697616146e-7	6.546605056662307e-7	0.43665225094085464	6.2055187320584455	ENSG00000087502	protein_coding	12	361	no	no	significant
NA	1.29198	8.21065	32	+	NA	60S ribosomal protein L28	RPL28	P46779;H0YKD8;P46779-2;P46779-3;H0YMF4;P46779-4;P46779-5;H0YLP6;Q59F34;O60251	P46779;H0YKD8;P46779-2;P46779-3;H0YMF4;P46779-4;P46779-5;H0YLP6;Q59F34	1.06405	RPL28	6.1567284652068805e-9	5.258730501220904e-8	0.3695837371184109	6.183086036481332	ENSG00000108107	protein_coding	19	362	no	no	significant
NA	1.36664	6.68286	32	+	NA	MAP7 domain-containing protein 1	MAP7D1;RPRC1	Q6NX58;D3DPS3;Q3KQU3-2;Q3KQU3-4;Q3KQU3;B3KU03;Q3KQU3-3;A1L1B7;H0YF21	Q6NX58;D3DPS3;Q3KQU3-2;Q3KQU3-4;Q3KQU3;B3KU03;Q3KQU3-3	1.20043	MAP7D1	2.075582498366937e-7	1.1480681726208534e-6	0.4506332585877868	6.150256599558721	ENSG00000116871	protein_coding	1	363	yes	no	significant_inflammatory
NA	1.29919	7.97367	32	+	NA	BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11	BID	A8ASI8;B3KT21;P55957;P55957-2;B1PL87;B2ZP79;P55957-4;B2ZP78;P55957-3	A8ASI8;B3KT21;P55957;P55957-2;B1PL87;B2ZP79;P55957-4	1.01979	BID	1.0625025964154013e-8	8.51103116092337e-8	0.37761243310529924	6.13648871136054	ENSG00000015475	protein_coding	22	364	yes	no	significant_inflammatory
NA	1.32398	7.3984	30	+	NA	DNA repair endonuclease XPF	ERCC4	A0A1W1GST9;A0A1W1GSK9;Q92889;A0PJA9;A0A1W1GSL6;A0A1W1GSP5;Q92889-2;B4DXD8	A0A1W1GST9;A0A1W1GSK9;Q92889;A0PJA9;A0A1W1GSL6;A0A1W1GSP5;Q92889-2	1.05097	ERCC4	3.995765566188058e-8	2.700288365640955e-7	0.4048813290040809	6.1122656549520205	ENSG00000175595	protein_coding	16	365	no	no	significant
